ChargingStationCode,AverageTime0(seconds),AverageTime1(seconds),AverageTime2(seconds),AverageTime3(seconds),AverageTime4(seconds),AverageTime5(seconds),AverageTime6(seconds),AverageTime7(seconds),AverageTime8(seconds),AverageTime9(seconds),AverageTime10(seconds),AverageTime11(seconds),AverageTime12(seconds),AverageTime13(seconds),AverageTime14(seconds),AverageTime15(seconds),AverageTime16(seconds),AverageTime17(seconds),AverageTime18(seconds),AverageTime19(seconds),AverageTime20(seconds),AverageTime21(seconds),AverageTime22(seconds),AverageTime23(seconds)
CS40,24.37600836141996,32.478581429688056,14.432577345178625,51.05948538649091,16.706274023945777,46.40025539781302,61.197582637646505,79.23898786093349,292.57126664798034,546.3087948983281,832.6279215749898,910.5856098664099,1007.2452849162382,698.2923866600721,374.2371280447121,213.44049658464306,195.18812392483633,257.2971201441511,505.01080680308047,853.1938527355386,1170.739133494381,1022.7326009347062,861.0498244037078,492.9062098288809
CS42,97.45168514194026,54.50229072581819,45.75868226414859,83.18738585270262,30.437676444437148,80.25058086769828,116.58608806603415,105.65277132857757,368.1414643812805,636.6136586691291,873.7686695489907,999.9247433047124,1056.016185446903,723.4674476053355,452.74841758514964,274.2250592268722,254.86151049934784,313.9282174112636,594.2115179176865,909.3952354434533,1221.9006202554829,1079.6826089639085,878.6715899980254,557.4676526431134
CS44,41.33900455489683,70.81592892830325,81.776948523175,134.70807467578192,93.65180318052721,93.26852804699192,106.15794919842631,133.81750220057677,388.18111968458635,636.3175145078377,929.9219529566325,1023.4862526716163,1063.1429419885858,769.3338303405853,497.9229899992989,321.75220745691615,266.2850323686021,313.7010678034733,631.32903505339,1018.2198832697452,1298.4340604718295,1148.4804769609264,933.7016754416403,562.0211050007491
CS46,72.80783393381341,91.7289638619978,142.37535716546603,170.01880830957876,110.21786100949853,105.5559711891613,162.55723652438743,185.3003101724241,424.97252491591365,718.6903348499574,985.4206698963105,1104.0565578056596,1137.9168252982165,858.2360078987484,577.3609689244267,347.12490707972376,300.1441288832585,388.11699876493685,679.456007802499,1069.2639562461143,1390.8733111342224,1199.6095606539866,928.558865860686,656.1177672444244
CS48,160.61663595669472,147.8608444478651,155.0515126223101,162.51267383894387,143.62223805371187,160.1227011356592,192.09483849044514,227.0689716030065,503.2918732680556,796.2121710579793,1057.8165051551825,1193.5027729046578,1186.5078639006426,883.4963238209641,645.812237592043,381.56402581244805,350.34871138290345,465.9543726508171,710.8702933283606,1090.3828593468845,1492.2673636449556,1195.7608456962341,958.7192565909949,664.9529875808282
CS60,39.17245565991556,71.1655858729104,37.77038912415397,86.44829621475455,26.898175763514388,55.83261686990543,65.42192842896965,124.00612927774561,368.77840556115785,649.6084493881822,863.4713591034,991.7317695941476,1078.1620356867293,715.2113602406438,443.93763893195745,262.85801204956726,231.90533256034132,301.97153016093426,615.7698663486011,877.1723183152535,1257.9729615712888,1070.932833870652,871.402428827898,480.3565371811143
CS62,48.42045912106685,95.24816496816325,65.12338145978079,113.43223624841937,53.565709050558986,89.13876982025278,149.81405029370532,166.83553967664008,393.2888945222203,692.5487554520395,909.2070397276239,1049.126734357625,1095.1507696128847,816.0364472549561,524.2439990337383,320.15899977967365,264.024031344172,345.46572292693537,591.5992942018005,951.7833891745921,1288.6023446543763,1109.7091975353303,900.5664419658202,586.9538332906554
CS64,128.99594493220968,127.69151106307,116.61628242672148,166.85761520892154,119.31774797505132,119.24397083969559,149.16030683663877,179.2392561860573,449.8661202105341,714.6633513247874,945.110869747222,1133.4363413716585,1127.895409840866,824.3337545789576,558.4430720498938,358.9144545376659,343.0127404588727,377.9166106643875,658.1155841415065,1040.2978796305551,1375.7385992600978,1192.4269883966465,900.4671385501498,631.3880791793798
CS66,134.8172167660146,133.1164299492218,195.2362208546613,128.54263433349686,141.93514480965004,126.10277011977212,191.4866861558772,203.54474816742592,518.1091693077752,776.5420304380044,1044.4112047562044,1186.0642088678912,1149.6105464100194,891.6276319912276,611.805801501042,417.6140327778834,334.512508948098,426.9469867549382,658.3717235314274,1094.0949157753928,1452.0001890289443,1254.07063001385,981.2632000988881,702.9189923436799
CS68,188.62397570316583,166.38158658505,221.2166040786736,156.2642683368097,175.65032037026688,149.1827539028737,242.2136176576035,241.23898139351502,545.5929099217797,850.3866696844455,1100.7357661305125,1222.8833761126423,1203.6672281253088,978.9541574271665,640.5860333528548,475.27983032244293,422.84110513377317,484.87227142987683,719.2516759719902,1115.3318155539866,1527.6259867990234,1317.4656638065214,1013.4450910291386,792.1170333534117
CS80,76.34415967983992,111.12424052419229,67.27616867964613,129.27084115430395,88.86753015334656,147.24099119114572,123.79288472504915,156.87926056133028,399.8319787609585,643.4443068039575,907.7547509666236,1050.8425827091198,1113.1913663920743,823.2592151228765,504.70870442345904,336.4232007127655,234.8954166195475,346.44223596422927,634.3745151549745,872.750789866076,1295.7568302867705,1115.5566508091351,913.9322253966435,499.19407184890355
CS82,126.93060799530717,122.18736627452624,104.13974023092686,137.88610803224856,120.79789489255435,133.34529614403934,138.93314481404576,205.5668261091563,420.2251331295737,761.0282934787924,909.7413316423423,1108.477229433053,1138.6772060191531,887.5385560448461,546.0390606727206,353.65912014774466,320.45647741248064,322.92300404236994,716.1513065491878,996.5060366382282,1313.4797742562014,1160.5071279174101,981.768427929957,623.1375124453017
CS84,156.2886189846425,185.39975038914486,149.00237600906235,173.2989878068139,134.06921680062015,167.03472726259238,200.84177891320036,174.17330416678163,493.3633707439497,793.3203214534202,1009.6278319675876,1155.5803520509382,1141.0626253782516,895.4591852411368,642.8994932479425,390.94285737472825,342.64411323152297,445.6364328580244,740.0902053963312,1045.6441805392474,1444.486843781268,1237.0658261391811,976.8481216678407,669.1282225761757
CS86,171.95363162827562,188.83219720171206,214.751615348933,174.20187188490536,165.90905056123742,189.82630879905264,197.90491341753062,254.46599662143652,562.0128372660488,852.0070761589351,1086.450156704914,1234.8264589783744,1213.4220375255836,949.3083923735121,677.3002616589831,450.7944749274004,459.10315887121646,482.02370059886056,738.2565360980146,1111.4341291408646,1510.5995591738058,1320.7959909224228,1069.797009544781,746.7689319967496
CS88,274.34544986322123,239.708071889402,234.98066916604307,197.99868928771014,186.23097887995195,191.3610450450123,331.9447993731557,299.4590411824381,594.2429292665628,889.434447944123,1132.9422739145139,1270.472020709609,1166.5918885715798,1018.3020694374411,688.7601144401305,531.5581079597038,488.97322012635976,523.7834715709631,826.7227476930562,1199.1796185843853,1551.572054558938,1336.333450800029,1102.2179096312072,797.3783830508139
